time,temp_in_celsius,hum_in_percent
2024-03-25 09:39:07.724628,22.1,51.0
2024-03-25 09:39:24.463313,22.1,51.0
2024-03-25 09:39:35.724843,22.1,51.0
2024-03-25 09:39:46.973860,22.1,51.0
2024-03-25 09:39:58.229247,22.0,51.0
2024-03-25 09:40:09.495344,22.1,52.0
2024-03-25 09:40:20.863872,22.0,51.0
2024-03-25 09:40:32.112693,22.1,51.0
2024-03-25 09:40:43.373924,22.1,50.0
2024-03-25 09:41:00.121925,22.1,50.0
2024-03-25 09:41:05.895628,22.0,50.0
2024-03-25 09:41:17.149574,22.0,50.0
2024-03-25 09:41:34.033494,22.0,51.0
2024-03-25 09:41:45.298583,22.1,51.0
2024-03-25 09:42:01.584710,22.1,51.0
2024-03-25 09:42:13.472873,22.1,50.0
2024-03-25 09:42:30.252249,22.1,50.0
2024-03-25 09:42:48.392156,22.1,51.0
2024-03-25 09:43:05.172793,22.2,51.0
2024-03-25 09:43:22.264948,22.1,51.0
2024-03-25 09:43:33.556386,22.2,51.0
2024-03-25 09:43:50.672061,22.2,50.0
2024-03-25 09:44:01.975078,22.2,50.0
2024-03-25 09:44:19.132724,22.3,50.0
2024-03-25 09:44:30.817276,22.3,50.0
2024-03-25 09:44:42.529882,22.3,50.0
2024-03-25 09:44:59.312275,22.3,50.0
2024-03-25 09:45:10.586107,22.3,50.0
2024-03-25 09:45:22.235737,22.4,50.0
2024-03-25 09:45:33.534391,22.4,50.0
